denumire,judet,adresa,telefon,nr_autorizatie,data_emiterii,tip_autorizatie,descriere_autorizatie
SC SILVALIN INSTAL SRL,ARGEŞ,"Piteşti, str. Eremia Grigorescu, bl. R1bis, sc.A, ap.1",0248/217706,A-2280,29.05.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SILVORA TERA SRL,ARGEŞ,"Sat Merişani, comuna Merişani, nr.1543, judeţul Argeş",0726/015696,A-6507,25.11.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC SMART OFFICE SOLUTIONS SRL,ARGEŞ,"Piteşti,str. N. Dobrin, nr.93D, bl.TDT, parter, Spațiul
comercial nr.3",0348/430583,A-2309,07.06.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SMART SHIELD PROTECTION SRL,ARGEŞ,"Sat Bughea de Sus, com. Bughea de Sus, nr. 236A",0750464549,B-3811,10.05.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SMEP SECURITY SMART SYSTEMS
SRL",ARGEŞ,"Sat Mănicești, comuna Băiculești, nr.51",0752/331537,A-7442,27.09.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SOLUȚII DIGITALE INTELIGENTE
SRL",ARGEŞ,"Câmpulung, Str. Vlad Țepeș, nr. 18",0735314948,B-3671,05.04.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TARGET ONE SECURITY SRL,ARGEŞ,"Piteşti, Calea Craiovei, nr.134, bl.40bis, sc.E, ap.1",0348/401225,A-4419,16.10.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
THEO SYSTEM SECURITY SRL,ARGEŞ,"Birseștii de Sus, com. Tigveni, nr. 78B",0758532285,B-3027,13.09.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC TITANIC GRUP SRL,ARGEŞ,"Piteşti, str. Depozitelor, nr.2D",0248/212261,A-2154,07.05.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TOTAL ELECTROCONSTRUCT VG,ARGEŞ,"Pitești, Calea Craiovei, nr.142, bl.26, sc.D, et.1, ap.6",0754314282,A-7578,24.11.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SRL
Autorizat ca:
TOTAL ELECTROCONSTRUCT VG
SRL",ARGEŞ,"Sat Bascov, comuna Bascov, Zona Centru, bl.A3, sc.B,
et.4, ap.18",0754/314282,A-5623,11.03.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC TOTAL SERVICE ELECTRONICS
SRL",ARGEŞ,"Piteşti, str.Dacia, bl.A5, sc.C, et.3, ap.7",0348/424479,A-0716,03.03.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ULTRA MASTER PRO SRL,ARGEŞ,"Piteşti, str. I.G. Valentineanu, nr.21, parter",0248/216531,A-3863,10.01.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
UNI TRADE SECURITY 2008 SRL,ARGEŞ,"Piteşti,B-dul Republicii, nr.222, camera 7",0248/222622,B-0170,01.10.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ALTERNET SYSTEMS SRL,BACĂU,"Bacău, Str. Letea, nr. 13, sc. B, ap. 31",0727303575,B-3082,28.09.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC AMG SECURITY SRL,BACĂU,"Bacău, Str. Ana Ipătescu, nr. 11, bl. 11, parter, ap. 2",0234/515794,A-1316,09.09.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC AMPRO SYSTEM SRL,BACĂU,"Bacău, Str. Aviatorilor, nr. 31, sc. A, ap. 12",0234/516062,A-0068,09.06.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
S.C. APP4WEB SRL,BACĂU,"Onești, str. Al.I. Cuza, nr. 3, bloc 3, sc. B, ap. 18",0721211499,A-7699,29.01.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
AXIS AG SRL,BACĂU,"Bacău, P-ța Revoluției, nr. 1, et. 2",0741119687,B-4862,14.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC AZIA SECURITY SYSTEMS SRL,BACĂU,"Bacău, str. Alexandru cel Bun, nr.7",0234/518214,A-0764,22.03.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BECO ELECTRIC SRL,BACĂU,"Ferăstrău-Oituz, str. Leșunț, nr.24",0744396047,B-2857,21.07.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BVB RISK SOLUTIONS SRL,BACĂU,"Bacău, Str. Rozelor, nr. 36",0736959363,B-3214,14.11.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BVB SECURITY SOLUTIONS SRL,BACĂU,"Bacău, Str. Rozelor, nr. 36",0736959363,B-4778,28.02.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC CAMBEEA SRL,BACĂU,"Bacău, B-dul Unirii, nr. 78B",0234/542184,A-0031,26.05.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC CAT GUARD SECURITY SRL,BACĂU,"Bacău, str. Vasile Lupu, nr.87B",0234/514276,A-2631,11.09.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
C – BIT SOLUTIONS SRL,BACĂU,"Oneşti, str. Mercur, nr.2, bl.2, sc.C, et.4, ap.93",0743/108628,A-3985,07.03.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CHELARU ADRIAN PFA,BACĂU,"Sat Rădeana, comuna Ştefan cel Mare, nr.32",0743/094914,A-3200,21.02.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CHIMCOMPLEX SA BORZEŞTI,BACĂU,"Oneşti, str. Industriilor, nr.3",0234/302250,A-5731,30.03.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CYBERNET SRL,BACĂU,"Bacău, str. 9 Mai, nr.31, poz.5+5, sc.B,",0234/570892,B-1127,12.10.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
COMBOTECH SRL,BACĂU,"Bacău, Str. Progresului, nr.12, sc.B, ap.11",0234/555959,A-3382,30.04.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
COMPACT RENT SRL,BACĂU,"Buhuși, Str. Libertății, nr. 227, parter",0742499466,B-3089,04.10.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC DALCONI GROUP SRL,BACĂU,"Bacău, str.Valea Albă, nr.10, bl.10, sc.A, et.2, ap.6",0334/427143,A-1719,24.01.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DASITRADE SRL,BACĂU,"Bacău, str.Nufărului, nr.10, bl.10, sc.B, et.3, ap.7",0728/030268,A-3170,08.02.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DATA TECH SRL,BACĂU,"Oneşti, B-dul Oituz, nr.24, bl.24, sc.1, et.1, ap.8",0234/313170,A-4415,10.10.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DECORAMA SRL,BACĂU,"Târgu Ocna, str. Viitorului, nr.12bis",0726/280422,A-6146,25.07.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTROBAC SYSTEMS SRL,BACĂU,"Bacău, str. Bicaz, nr. 13, sc. A, ap. 1",0234585353,A-9569,17.12.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ELECTROIND SRL,BACĂU,"Onești, Str. Industriilor, nr. 3",0234/302399,A-2381,28.06.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ENERGETICA IMPEX SRL,BACĂU,"Bacău, str. Avram Iancu, bl.C3 Demisol",0769/081601,A-4056,01.04.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ENERGOFOR SRL,BACĂU,"Sat Hemeiuș, com. Hemeiuș, str. Gării nr. 100, clădirea
G2, cam. 201-202, et. 2",0234562410,B-5305,02.07.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EURO-MAR SRL,BACĂU,"Bacău, str. Iaşilor, nr.12",0234/571940,A-3847,24.12.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FORM CONSULT SRL,BACĂU,"Letea Veche, str. Panselelor, nr. 48",0730608894,B-3926,30.05.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GAMSERV CONS SRL,BACĂU,"Bacău,B-dul Vasile Pârvan, nr.15",0756/805614,A-8399,12.09.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GLOBAL SECURITY GROUP SRL,BACĂU,"Bacău,B-dulAlexandru cel Bun, nr.5,bl.5,sc.D, et.3, ap.11",0745/910979,A-3061,28.12.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GRADINVEST SRL,BACĂU,"Bacău,Calea Mărăşeşti, nr.110, bl.110, sc.D, et.1, ap.6",0234/575481,A-5787,14.04.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GRUP CONSTRUCT DESIGN SRL,BACĂU,"Moinești, str. Cpt. Paul Zăgănescu, nr. 43",0744523762,B-5181,30.05.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC GSB LIGHT SRL,BACĂU,"Bacău, str. Gării, nr.70, sc.D, ap.17",0334/414160,A-0201,10.08.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GSC SELVIR SRL,BACĂU,"Bacău, str. Milcov, nr. 3-5",0744/658017,A-4965,02.07.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
IAIA TECH SRL,BACĂU,"Onești, Aleea Crinilor, nr. 1, bl. 1, sc. 1, et. 1, ap. 6",0742142928,B-3796,09.05.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
I.B.H. INVEST SRL,BACĂU,"Bacău, str. Ghe. Donici, nr.2",0756/439605,A-7374,01.09.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
INGENIOUS SYSTEM SRL,BACĂU,"Bacău, str. Lupeni, nr. 42",0744546073,B-4826,10.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"KATREIN SRL
Autorizată la:",BACĂU,"Măgura, comuna Măgura, str. Panselelor, nr.9
Bacău, str. Valea Albă, nr.10, bl.10, sc.B, et.4, ap.9","0748218681
0234/516466","B-5800
A-0307","17.12.2025
28.09.2010",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
KTR TRANS ENERGY SRL,BACĂU,"Sat Racova, com . Racova, str. Ștefan cel Mare și Sfânt, nr.
74,",0746442412,B-4802,04.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
LAFORSERVICE SRL,BACĂU,"Loc. Comănești, oraș Comănești, str. Moldovei, nr. 18",0212521264,B-3964,06.06.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
LANDER-INST SRL,BACĂU,"Bacău, str. Buciumului, nr.4A, parter, camera 1",0234/517416,A-7455,04.10.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
4M SECURITY SOLUTION SRL,BACĂU,"Bacău, str. Milcov, nr. 132, bl.132, sc.B, et.4, ap.25,
judeţul Bacău",0744/704972,A-6505,25.11.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MBN ELECTRICAL SOLUTION SRL,BACĂU,"Sat Gura Văii, com. Gura Văii, nr. 751A",0747381192,B-6163,26.03.2026,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC MICROENERG SRL,BACĂU,"Bacău, B-dul Unirii, Cartier Şerbăneşti, nr.90",0234/512111,A-1708,19.01.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MICROGUARD SRL,BACĂU,"Sat Lilieci, comuna Hemeiuș, str. Nouă, nr.14",0743/231619,A-9350,25.09.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MICROSISTEM SERVICE SRL,BACĂU,"Bacău, str. Plaiului, nr.14",0234/517616,A-4119,29.04.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
NCV LOGISTICS SRL,BACĂU,"Sat Barați, com. Mărgineni, str. Bologești, nr. 6",0745609543,B-4871,17.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
NECO ENTERPRISE SRL,BACĂU,"Bacău, str. Bucegi, nr.20",0234/555959,A-0149,19.07.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC NEW TECH CORPORATION SRL,BACĂU,"Bacău, str. Vrancei, nr.3",0740/450078,A-2097,25.04.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC OMEGA BC COMMUNICATIONS
SRL
Autorizată la:",BACĂU,"Comănești, str. Combinatului, nr. 49
Bacău, Calea Moldovei, nr.117-119",0234/554466,"B-5038
A-0614","06.05.2025
24.01.2011",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ONE ENERGY SOLUTION SRL,BACĂU,"Onești, str. Chimistului, nr.1, sc.A, ap.20",0744/880915,A-6824,24.03.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC PENTAGON SRL,BACĂU,"Oneşti, str.Libertăţii, nr.7B, bl.7B, sc.B, parter, ap.24",0234/318186,A-1633,21.12.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PRO COMPUTERS SRL,BACĂU,"Bacău, str. Narciselor, nr.10",0740/252522,A-9035,05.06.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC PRODBAC SECURITY SRL,BACĂU,"Bacău, str.Carpaţi, nr.2",0234/519433,A-1037,03.06.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PRODBAC SECURITY SERVICES SRL,BACĂU,"Bacău, str. Mihai Eminescu, nr. 28, sc. A, ap. 2",0740/869074,A-8321,10.08.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
PRO GAME INTERNATIONAL SRL,BACĂU,"Buhuși, str. N. Bălcescu, bl.6C, parter",0742/499466,A-7112,09.06.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
RCS ELECTRO SRL,BACĂU,"Bacău, str. Ştefan cel Mare, nr.7, bl.7, sc.F, et.4, ap.15",0747/332703,A-4388,16.09.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ROLINAD SRL,BACĂU,"Bacău, str. Depoului, nr.39",0755/350696,A-6946,21.04.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SEKAT INVESTIGATII GRUP SRL
Autorizat ca
SECPRAL SECURITY SRL",BACĂU,"Bacău, str. Războieni, nr.30, bl.30, sc.C, ap.3",0334/405495,"A-3555
A-3279","16.07.2013
19.03.2013",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC SIBTECH COM SRL,BACĂU,"Bacău, str. George Apostu, nr. 6, bl. 6, sc. A, ap. 19",0744689940,A-2444,16.07.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SISTEM SECURITY LINE SRL,BACĂU,"Bacău, Bd. Alexandru cel Bun, nr. 4, sc. C, ap. 2",0746888994,B-3085,28.09.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SPECIAL SECURITY SRL,BACĂU,"Sat Hemeiuş, comuna Hemeiuş, str. Ion Simionescu, nr.8",0731/341041,A-4699,09.03.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SYNTEGRA SECURITY SRL
Autorizat la:","BUCUREȘTI
BACĂU","Str. Propășirii, nr. 7, birou nr. 1, parter, sector 1
Bacău, str. General Radu R. Rosetti, nr.4, ap.26","0785274602
0733/460552","B-2405
A-4280","03.03.2023
15.07.2014",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"TEBEX SRL
Autorizat ca:
TEBEX MANAGEMENT GRUP SRL",BACĂU,"Bacău, str. Alexei Tolstoi, nr.67",0742/424259,"B-2957
A-3233","25.08.2023
04.03.2013",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
Autorizat ca:,BACĂU,"Bacău, str. 9 Mai, nr. 80, etaj 1",0757701701,B-2175,16.12.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TECHNOSERVICE SECURITY SRL,,,0741347593,A-8052,10.05.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"TELECOMMUNICATION GROUP
SERVICES SRL",BACĂU,"Bacău, str. Nordului, nr. 5, bloc 5, scara B, etaj 1, ap. 1",0741190729,B-0983,30.08.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC TELESYSTEM SRL,BACĂU,"Bacău, str.Mărăşeşti, nr.110, sc.C, et.1, ap.7",0234/551055,A-0466,22.11.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TEXSISTEM SRL,BACĂU,"Bacău, str. Nicu Enea, nr.42, bl.42, sc.A, parter, ap.16",0234/518648,A-6256,25.08.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC VEGA SRL,BACĂU,"Oneşti, str.Belvedere, nr.6, bl.6, sc.A, parter, ap.3",0234/319300,A-0745,11.03.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"VIEWPOINT TECHNOLOGY
SYSTEMS SRL",BACĂU,"Bacău, Str. Înfrățirii, nr. 77",0751338866,B-2362,17.02.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
AYORO SYSTEMS SRL,BIHOR,"Oradea, str. Horea, nr.48A",0773993953,B-1799,06.07.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC AL.SE.RO. IMPEX SRL,BIHOR,"Oradea, str. Bradului, nr. 36",0259/415465,A-1735,26.01.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
AMPER PROIECT SRL,BIHOR,"Oradea, str. Abraham Lincoln, nr.19",0359/405489,B-1162,28.10.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"AVANTI SECURITY CONSULTING
SRL",BIHOR,"Sat Nojorid, com. Nojorid, str. Teiului, nr.1",0767998309,B-4896,21.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ARIKAN SERV SRL,BIHOR,"Oradea, str. Aviatorilor, nr.52A",0259/457781,A-9587,07.01.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC AUTOMATIC TELECOM SRL,BIHOR,"Sat Tinca, comuna Tinca, str.Ştefan cel Mare, nr. Str.
Coziei, nr.2/A",0721/603019,A-0619,24.01.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BARYONTECH SRL,BIHOR,"Sat Sălard, nr. 878",0774472234,B-2686,31.05.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BITROOT SOLUTION SRL,BIHOR,"Oradea, str. Episcop Roman Ciorogariu, nr. 7, ap. 5",0771/186414,B-0740,25.05.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BUSFLOR COM SRL,BIHOR,"Oradea, str. Cloșca, nr. 22, cam.5",0743144151,A-8119,31.05.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CARLEX SERVICE SRL,BIHOR,"Beiuş, str.Horea, nr.44",0723/290215,A-4819,05.05.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"CATEDRAL SECURITY SOLUTIONS
SRL",BIHOR,"Sat Nojorid, com. Nojorid, str. Teiului, nr.1",0752268800,B-4900,21.03.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"AG CONSTRUCT NEO SRL
autorizat ca
CLOUD IT SRL",BIHOR,"Ciuhoi, com. Saniob, nr. 157
Oradea, str. Salcâmilor, nr.28, bl.R154, sc.A, ap.1","0771328633
0359/402024","B-5747
A-6662","27.11.2025
03.02.2017",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CV ELECTRO EUROPA SRL,BIHOR,"Oradea, str. Theodor Speranția, nr. 1, bloc PB10, ap. 2",0744874357,A-8024,08.05.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CXC TEHNIC SYS SRL,BIHOR,"Sat Beznea, comuna Bratca, nr.550",0259/444555,A-7309,11.08.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DALUVA STING SRL,BIHOR,"Oradea, Str. Crângului, nr. 20",0745339206,B-3191,30.10.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
D&F GLOBALSECURITY SRL,BIHOR,"Oradea, str. Doina, nr. 21, bloc PB122, ap. 5","0259471492
0744637723",A-8118,31.05.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DELPRO SRL,BIHOR,"Oradea, str. Petre Ispirescu, nr.2, bl.PB36, ap.6",0359/175403,A-7009,10.05.2017,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DEVE SRL,BIHOR,"Oradea, Str. Sintandrei, nr. 19K",0733330377,B-6115,18.03.2026,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
DHELECTRIC SYSTEM SRL,BIHOR,"Oradea, str. Olimpiadei, nr.7A, bl.C7/A, et.2, ap.6",0745/537993,A-9354,25.09.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRO CONSULT SRL,BIHOR,"Oradea, Str. Barcăului, nr.40",0259/475100,A-2674,20.09.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTROGAL SOLUTIONS SRL,BIHOR,"Oradea, Str. Sovata, nr. 33, bl. PB11, et. 2, ap. 11",0771135761,B-3932,30.05.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRONIC PROTECT SRL,BIHOR,"Oradea, Str. Matei Corvin, nr. 169A",0745328987,B-5460,01.09.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRO VITAL SRL,BIHOR,"Oradea, Str. Dobreștilor, nr.8A, bl.Pb8a, ap.3",0745/526436,B-1561,06.04.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELSEN SRL,BIHOR,"Oradea, Str. Moldovei, nr.44, bl.QR 54, ap.4",0720/533347,A-3402,22.05.2013,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EMAMUT SRL,BIHOR,"Salonta, str. Horea, nr.26",0735/777296,A-3908,05.02.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
EM MAX SOFTWARE SRL,BIHOR,"Oradea, str.Balogh Istvan, nr.25",0745/979215,B-0712,20.05.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"GUARDIA SECURITY SYSTEM SRL
autorizat ca
EUROPEAN SECURITY GUARD SRL",BIHOR,"Oradea, Piaţa Cetăţii, nr.18
Oradea, Piaţa Cetăţii, nr.18","0359/466453
0359/466453","A-3956
A-3235","20.02.2014
05.03.2013",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"EXPERTCOM SRL
Autorizat la:",BIHOR,"Sat Cihei, comuna Sînmartin, str. Grădinarilor, nr. 66, nr.
Cadastral 62635
Oradea, Str. Şelimbărului, nr.5, bl.F6, ap.9",0742/223226,"B-0063
A-2960","07.08.2020
03.12.2012",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC GAN TRADING SRL,BIHOR,"Oradea, strCuza Vodă, nr.88, biroul nr.5",0359/427425,A-0219,18.08.2010,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC FLORIVAS SRL,BIHOR,"Sat Câmpani, comuna Câmpani, nr.239",0745/663576,A-1975,26.03.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
FORNATURAL SRL,BIHOR,"Cetariu, comuna Cetariu, nr.277",0740/310037,A-4274,15.07.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GEOMOLD CONSTRUCT SRL,BIHOR,"Sat Cusuiuș, com. Lazuri de Beiuș, nr. 149",0747475466,B-5646,17.10.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
